6.8412,1567.6,289.42,-25.819,0.043986,0.11857
6.8912,1582,288.13,-25.634,0.044329,0.11857
6.9412,1596.4,286.85,-25.47,0.04465,0.11857
6.9912,1610.7,285.58,-25.314,0.044953,0.11857
7.0412,1625,284.32,-25.151,0.045235,0.11857
7.0912,1639.2,283.07,-24.999,0.0455,0.11857
7.1412,1653.3,281.82,-24.851,0.045752,0.11857
7.1912,1667.3,280.58,-24.662,0.045985,0.11857
7.2412,1681.3,279.35,-24.486,0.046203,0.11857
7.2912,1695.3,278.13,-24.311,0.046409,0.11857
7.3412,1709.2,276.92,-24.13,0.046602,0.11857
7.3912,1723,275.72,-23.945,0.04678,0.11857
7.4412,1736.7,274.53,-23.769,0.046946,0.11857
7.4912,1750.4,273.35,-23.587,0.047099,0.11857
7.5412,1764.1,272.17,-23.428,0.047241,0.11857
7.5912,1777.6,271,-23.292,0.047374,0.11857
7.6412,1791.2,269.84,-23.168,0.047498,0.11857
7.6912,1804.6,268.69,-23.027,0.047611,0.11857
7.7412,1818,267.54,-22.9,0.047714,0.11857
7.7912,1831.4,266.4,-22.771,0.047809,0.11857
7.8412,1844.7,265.26,-22.652,0.047896,0.11857
7.8912,1857.9,264.13,-22.533,0.047976,0.11857
7.9412,1871.1,263.01,-22.387,0.048048,0.11857
7.9912,1884.2,261.89,-22.249,0.048113,0.11857
8.0412,1897.3,260.78,-22.106,0.048171,0.11857
8.0912,1910.3,259.68,-21.956,0.048223,0.11857
8.1412,1923.2,258.59,-21.796,0.048268,0.11857
8.1912,1936.1,257.5,-21.635,0.048306,0.11857
8.2412,1949,256.42,-21.495,0.048338,0.11857
8.2912,1961.8,255.35,-21.371,0.048366,0.11857
8.3412,1974.5,254.29,-21.249,0.048387,0.11857
8.3912,1987.2,253.23,-21.139,0.048404,0.11857
8.4412,1999.9,252.17,-21.048,0.048416,0.11857
8.4912,2012.4,251.12,-20.95,0.048423,0.11857
8.5412,2025,250.08,-20.847,0.048426,0.11857
8.5912,2037.4,249.04,-20.764,0.048424,0.11857
8.6412,2049.9,248,-20.667,0.048418,0.11857
8.6912,2062.2,246.97,-20.567,0.048407,0.11857
8.7412,2074.6,245.94,-20.441,0.048393,0.11857
8.7912,2086.8,244.93,-20.297,0.048375,0.11857
8.8412,2099.1,243.91,-20.172,0.048353,0.11857
8.8912,2111.2,242.91,-20.045,0.048327,0.11857
8.9412,2123.3,241.91,-19.917,0.048298,0.11857
8.9912,2135.4,240.92,-19.791,0.048266,0.11857
9.0412,2147.4,239.93,-19.672,0.048231,0.11857
9.0912,2159.4,238.95,-19.56,0.048193,0.11857
9.1412,2171.3,237.97,-19.453,0.048152,0.11857
9.1912,2183.2,237,-19.373,0.048109,0.11857
9.2412,2195,236.04,-19.304,0.048061,0.11857
9.2912,2206.8,235.07,-19.238,0.048011,0.11857
9.3412,2218.5,234.11,-19.169,0.047959,0.11857
9.3912,2230.2,233.16,-19.096,0.047904,0.11857
9.4412,2241.9,232.2,-19.021,0.047847,0.11857
9.4913,2253.4,231.26,-18.924,0.047788,0.11857
9.5413,2265,230.31,-18.829,0.047727,0.11857
9.5913,2276.5,229.37,-18.723,0.047663,0.11857
9.6413,2287.9,228.44,-18.624,0.047598,0.11857
9.6913,2299.3,227.51,-18.519,0.04753,0.11857
9.7413,2310.7,226.59,-18.413,0.047459,0.11857
9.7913,2322,225.67,-18.295,0.047388,0.11857
9.8413,2333.2,224.76,-18.201,0.047316,0.11857
9.8913,2344.5,223.85,-18.125,0.04724,0.11857
9.9413,2355.6,222.94,-18.043,0.047161,0.11857
9.9913,2366.7,222.04,-17.966,0.047082,0.11857
10.041,2377.8,221.15,-17.884,0.047001,0.11857
10.091,2388.9,220.26,-17.805,0.046919,0.11857
